0.10,0.0220,0.0,,
0.20,-0.0249,0.0,,
0.30,-0.0726,0.0,,
0.40,-0.0350,0.0,,
0.50,-0.0096,0.0,,
0.60,-0.0555,0.0,,
0.70,-0.2742,0.0,,
0.80,-0.1791,0.0,,
0.90,0.0816,0.0,,
1.00,0.0176,0.0,,
1.10,-0.0039,0.0,,
1.20,-0.2048,0.0,,
1.30,-0.0840,0.0,,
1.40,0.0761,0.0,,
1.50,-0.0956,0.0,,
1.60,0.1658,0.0,,
1.70,0.0663,0.0,,
1.80,0.0552,0.0,,
1.90,0.0735,0.0,,
2.00,-0.0884,0.0,,
2.10,0.0458,0.0,,
2.20,-0.0026,0.0,,
2.30,-0.0357,0.0,,
2.40,-0.0418,0.0,,
2.50,-0.0497,0.0,,
2.60,0.1671,0.0,,
2.70,-0.0394,0.0,,
2.80,0.1799,0.0,,
2.90,0.0191,0.0,,
3.00,0.0614,0.0,,
3.10,0.2140,0.0,,
3.20,-0.0978,0.0,,
3.30,-0.0177,0.0,,
3.40,-0.1394,0.0,,
3.50,-0.2442,0.0,,
3.60,-0.0780,0.0,,
3.70,-0.0843,0.0,,
3.80,0.0946,0.0,,
3.90,-0.0012,0.0,,
4.00,0.2341,0.0,,
4.10,-0.0663,0.0,,
4.20,-0.0493,0.0,,
4.30,0.2497,0.0,,
4.40,-0.0810,0.0,,
4.50,0.0557,0.0,,
4.60,0.0756,0.0,,
4.70,0.1522,0.0,,
4.80,0.1556,0.0,,
4.90,0.0263,0.0,,
5.00,0.1295,0.0,,
5.10,-0.0373,0.0,,
5.20,-0.1491,0.0,,
5.30,0.1720,0.0,,
5.40,-0.1238,0.0,,
5.50,0.0721,0.0,,
5.60,-0.1374,0.0,,
5.70,-0.1751,0.0,,
5.80,-0.2130,0.0,,
5.90,-0.0516,0.0,,
6.00,-0.0275,0.0,,
6.10,0.0761,0.0,,
6.20,0.1486,0.0,,
6.30,0.0922,0.0,,
6.40,0.0218,0.0,,
6.50,-0.1601,0.0,,
6.60,-0.1840,0.0,,
6.70,0.0541,0.0,,
